"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"
"BIAS_2018_SWE"	"2018-10-09T17:29:56.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T17:37:45.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T17:45:15.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T17:52:56.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T18:00:26.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T18:08:08.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T20:24:16.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T20:32:33.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T20:40:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T20:48:42.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T20:56:57.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:05:24.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:13:14.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:20:42.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:28:04.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:35:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:43:22.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:51:13.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T21:59:09.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:06:58.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:14:41.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:22:26.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:29:58.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:36:48.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:43:01.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:49:28.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T22:56:09.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:02:43.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:09:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:16:13.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:22:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:29:05.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:35:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:42:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:49:33.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T23:56:32.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:03:17.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:09:57.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:16:43.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:23:21.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:29:51.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:36:13.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:42:35.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:48:52.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T00:55:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T01:01:54.000Z"	"I1"	"MIX"	"P"	"P"	0	180
