"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	1766861.81047716	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	7067447.24190874	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	12368032.6733404	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	11190124.7996888	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	6360702.51771797	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	5653957.79352701	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	6831865.66717841	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	6714074.87981334	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	3415932.83358934	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	2238024.95993778	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	1413489.44838165	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	471163.149460594	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	117790.787365146	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	44978.3570488634	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	89956.714097746	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	337337.677866561	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	1349350.71146626	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	2361363.74506598	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	2136471.95982157	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	1214415.64031966	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1079480.56917301	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1304372.35441738	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1281883.17589295	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	652186.177208715	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	427294.391964319	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	269870.142293234	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	89956.714097753	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	22489.1785244377	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	38620.8518712043	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	77241.703742425	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	289656.389034105	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	1158625.55613644	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	2027594.72323878	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	1834490.46388268	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	1042763.00052281	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	926900.444909153	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1120004.70426522	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1100694.27832962	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	560002.35213263	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	366898.092776541	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	231725.111227271	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	77241.703742431	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	19310.4259356073	10	90	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T7"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	11.2
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	112322.182708699	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	224644.365417445	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	842416.370315453	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	3369665.48126186	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	5896914.59220831	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	5335303.67866459	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	3032698.93313572	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	2695732.3850095	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	3257343.29855311	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	3201182.20719878	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	1628671.64927662	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	1067060.73573293	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	673933.096252325	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	224644.365417463	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	56161.0913543643	10	90	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T8"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	12.1
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	35489.9740177865	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	70979.948035588	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	266174.805133465	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	1064699.22053388	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	1863223.6359343	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	1685773.7658453	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	958229.298480505	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	851759.376427104	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1029209.24651608	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1011464.25950719	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	514604.623258057	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	337154.753169063	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	212939.844106761	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	70979.9480355935	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	17744.9870088979	10	90	10.6
"Survey"	"Engelsk_Klondyke_2020"	"T9"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	10.6
"Survey"	"Outer_Shoal_2020_1"	"T10"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	10.2
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	80886.4266050263	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	404432.133025131	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	2588365.65136084	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	4448753.46327644	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	4529639.88988147	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	1941274.23852063	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	323545.706420105	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	970637.119260315	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	727977.839445237	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	727977.839445237	10	90	12.7
"Survey"	"Outer_Shoal_2020_1"	"T11"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	12.7
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	418596.438036964	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	2092982.19018482	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	13395086.0171829	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	23022804.092033	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	23441400.53007	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	10046314.5128871	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	1674385.75214786	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	5023157.25644357	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	3767367.94233268	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	3767367.94233268	10	90	17.1
"Survey"	"Outer_Shoal_2020_1"	"T12"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	17.1
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	2399.73639040499	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	11998.681952025	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	76791.5644929598	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	131985.501472275	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	134385.23786268	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	57593.6733697198	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	9598.94556161997	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	28796.8366848599	10	90	13
