"Stratum"	"PSU"	"EDSU"	"Layer"	"Channel"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"46H0"	"PSU004"	"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	"WaterColumn"	"10_77.8"	"BIAS_2018_SWE"	1	2018-10-08T20:37:00Z	20.07013	58.95661
"46H0"	"PSU005"	"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	"WaterColumn"	"10_155.1"	"BIAS_2018_SWE"	1	2018-10-08T20:46:00Z	20.09092	58.94373
"46H0"	"PSU006"	"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	"WaterColumn"	"10_89.3"	"BIAS_2018_SWE"	1	2018-10-08T20:54:00Z	20.11219	58.93106
"46H0"	"PSU007"	"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	"WaterColumn"	"10_95.2"	"BIAS_2018_SWE"	1	2018-10-08T21:03:00Z	20.14038	58.92527
"46H0"	"PSU008"	"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	"WaterColumn"	"10_98.9"	"BIAS_2018_SWE"	1	2018-10-08T21:11:00Z	20.1728	58.92503
"46H0"	"PSU009"	"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	"WaterColumn"	"10_82.4"	"BIAS_2018_SWE"	1	2018-10-08T21:19:00Z	20.20518	58.92499
"46H0"	"PSU010"	"BIAS_2018_SWE/2018-10-08T21:28:15.000Z"	"WaterColumn"	"10_92.2"	"BIAS_2018_SWE"	1	2018-10-08T21:28:00Z	20.23766	58.92511
"46H0"	"PSU011"	"BIAS_2018_SWE/2018-10-08T21:36:47.000Z"	"WaterColumn"	"10_86.4"	"BIAS_2018_SWE"	1	2018-10-08T21:36:00Z	20.27011	58.92537
"46H0"	"PSU012"	"BIAS_2018_SWE/2018-10-08T21:44:59.000Z"	"WaterColumn"	"10_99.5"	"BIAS_2018_SWE"	1	2018-10-08T21:44:00Z	20.30259	58.92555
"46H0"	"PSU013"	"BIAS_2018_SWE/2018-10-08T21:53:32.000Z"	"WaterColumn"	"10_88.1"	"BIAS_2018_SWE"	1	2018-10-08T21:53:00Z	20.33496	58.92549
