Stratum	PSU	Layer	Haul	WeightingFactor
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T10	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T100	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T11	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T12	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T13	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T14	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T15	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T16	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T17	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T93	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T94	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T95	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T96	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T97	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T98	WaterColumn	2020821/5/2020/3317/21-48-37263	
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-42-37257	100
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-43-37258	1
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-44-37259	100
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-45-37260	
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-46-37261	1
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-47-37262	5
Outer_Shoal_2020_1	T99	WaterColumn	2020821/5/2020/3317/21-48-37263	
