"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"1999002/4/1999/1024/2"	"27"	"80012"	"sild'G03/161722.G03/126417/NA"	"Clupea harengus"
"1999002/4/1999/1024/2"	"27"	"80012"	"blåsteinbit/550561/126757/NA"	"Anarhichas denticulatus"
"1999002/4/1999/1024/2"	"27"	"80012"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"27"	"80012"	"flekksteinbit/171342/126759/NA"	"Anarhichas minor"
"1999002/4/1999/1024/2"	"27"	"80012"	"gapeflyndre/172877/127137/NA"	"Hippoglossoides platessoides"
"1999002/4/1999/1024/2"	"27"	"80012"	"hyse/164744/126437/NA"	"Melanogrammus aeglefinus"
"1999002/4/1999/1024/2"	"27"	"80012"	"kloskate/564149/105865/NA"	"Amblyraja radiata"
"1999002/4/1999/1024/2"	"27"	"80012"	"nordlig ringbuk/167522/127212/NA"	"Careproctus spp"
"1999002/4/1999/1024/2"	"27"	"80012"	"rognkjeks/167612/127214/NA"	"Cyclopterus lumpus"
"1999002/4/1999/1024/2"	"27"	"80012"	"smørflyndre/172873/127136/NA"	"Glyptocephalus cynoglossus"
"1999002/4/1999/1024/2"	"27"	"80012"	"torsk/164712/126436/NA"	"Gadus morhua"
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig ålebrosme/631144/274100/NA"	"Lycodes gracilis"
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig uer/166781/151324/NA"	"166781"
