"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"23"	"80008"	"lodde/162035/126735/NA"	"2"	"1999002/4/1999/1024/2-23-80008-lodde/162035/126735/NA-2"	0.08	5	0.08	5
"1999002/4/1999/1024/2"	"23"	"80008"	"rognkjeks/167612/127214/NA"	"10"	"1999002/4/1999/1024/2-23-80008-rognkjeks/167612/127214/NA-10"	1.35	1	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"rødspette/172902/127143/NA"	"13"	"1999002/4/1999/1024/2-23-80008-rødspette/172902/127143/NA-13"	1.94	2	1.94	2
"1999002/4/1999/1024/2"	"23"	"80008"	"snabeluer/166756/127254/NA"	"8"	"1999002/4/1999/1024/2-23-80008-snabeluer/166756/127254/NA-8"	1.205	6	1.205	6
"1999002/4/1999/1024/2"	"23"	"80008"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-23-80008-torsk/164712/126436/NA-3"	52.76	71	52.76	71
"1999002/4/1999/1024/2"	"23"	"80008"	"torsk/164712/126436/NA"	"4"	"1999002/4/1999/1024/2-23-80008-torsk/164712/126436/NA-4"	2.25	161	1.395	100
"1999002/4/1999/1024/2"	"23"	"80008"	"vanlig ålebrosme/631144/274100/NA"	"16"	"1999002/4/1999/1024/2-23-80008-vanlig ålebrosme/631144/274100/NA-16"	0.295	8	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"øyepål/164756/126444/NA"	"7"	"1999002/4/1999/1024/2-23-80008-øyepål/164756/126444/NA-7"	0.12	3	0.12	3
"1999002/4/1999/1024/2"	"24"	"80009"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-24-80009-sild'G03/161722.G03/126417/NA-1"	0.015	2	0.015	2
"1999002/4/1999/1024/2"	"24"	"80009"	"blåkveite/172930/127144/NA"	"14"	"1999002/4/1999/1024/2-24-80009-blåkveite/172930/127144/NA-14"	2.815	1	2.815	1
"1999002/4/1999/1024/2"	"24"	"80009"	"blåsteinbit/550561/126757/NA"	"15"	"1999002/4/1999/1024/2-24-80009-blåsteinbit/550561/126757/NA-15"	38	5	NA	NA
"1999002/4/1999/1024/2"	"24"	"80009"	"dypvannsreke/96967/107649/NA"	"18"	"1999002/4/1999/1024/2-24-80009-dypvannsreke/96967/107649/NA-18"	39.975	NA	NA	NA
