Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Haul,Record,PEL,22434,170,2021-05-19 22:29,31,V,71.2020594,9.24478911666667,71.2336420833333,9.27863261666667,71F9,0,0,2500,3748.44800000232,31.81,,,,,195,,,,,68.63,,,,,,,32,,,,,,,8713.122,,2021456,
Haul,Record,CAM,22435,171,2021-05-20 21:00,126,V,70.9565562,1.4848738,71.00616215,1.5660013,70F1,0,1000,3165.58,6506.07599999817,25,,,,,1300,,,,,42.63,,,,,,,25,,,,,,,8880.699,,2021456,
Haul,Record,PEL,22436,172,2021-05-22 18:16,69,V,71.8505432166667,11.1979447,71.8495396833333,11.4154241166667,72G1,350,400,3500,7589.49599999992,25,,,,,1000,,,,,96,,,,,,,88,,,,,,,9220.653,,2021456,
Haul,Record,PEL,22437,173,2021-05-22 23:49,31,V,71.8602381666667,12.1273398,71.8940596833333,12.1606139166667,72G2,0,0,3500,3957.72399999779,25,,,,,195,,,,,71.94,,,,,,,17,,,,,,,9241.288,,2021456,
Haul,Record,CAM,22438,174,2021-05-23 04:02,139,V,71.8363363333333,13.6928725833333,71.8318821833333,13.9598524833333,72G3,0,1000,3500,9343.34000000013,25,,,,,2000,,,,,33.19,,,,,,,91,,,,,,,9277.043,,2021456,
Haul,Record,PEL,22439,175,2021-05-23 13:04,27,V,71.8223581833333,16.03480125,71.7966392833333,16.0651160166667,72G6,432.02,444.82,,3083.58000000162,32.13,,,,,1145,,,,,101.69,,,,,,,169,,,,,,,9334.417,,2021456,
Haul,Record,PEL,22440,176,2021-05-23 20:03,40,V,71.71173705,18.6715302833333,71.7386841333333,18.6740898833333,72G8,0,0,281.43,6170.86400000062,25,,,,,250,,,,,77.88,,,,,,,264,,,,,,,9387.826,,2021456,
Haul,Record,PEL,22441,177,2021-05-24 07:53,54,V,72.3913331666667,17.9728854333333,72.3850493166667,18.1665881,73G7,357.76,372.03,,6607.93599999871,25,,,,,990,,,,,100,,,,,,,100,,,,,,,9498.223,,2021456,
Haul,Record,PEL,22442,178,2021-05-24 13:11,22,V,72.4182711166667,17.07254695,72.4158720166667,17.1496455333333,73G7,374.44,383.44,,2615.02399999712,34.5,,,,,1125,,,,,101.845,,,,,,,264,,,,,,,9528.173,,2021456,
Haul,Record,PEL,22443,179,2021-05-24 19:25,55,V,72.4736252,14.7311509333333,72.4709002166667,14.9056866333333,73G4,300,350,4000,5885.65599999978,34.5,,,,,1380,,,,,104.38,,,,,,,93,,,,,,,9578.556,,2021456,
