"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"25"	"80010"	"øyepål/164756/126444/NA"	"164756"
"1999002/4/1999/1024/2"	"26"	"80011"	"sild'G03/161722.G03/126417/NA"	"161722.G03"
"1999002/4/1999/1024/2"	"26"	"80011"	"flekksteinbit/171342/126759/NA"	"171342"
"1999002/4/1999/1024/2"	"26"	"80011"	"gapeflyndre/172877/127137/NA"	"172877"
"1999002/4/1999/1024/2"	"26"	"80011"	"hyse/164744/126437/NA"	"164744"
"1999002/4/1999/1024/2"	"26"	"80011"	"kloskate/564149/105865/NA"	"564149"
"1999002/4/1999/1024/2"	"26"	"80011"	"lodde/162035/126735/NA"	"162035"
"1999002/4/1999/1024/2"	"26"	"80011"	"torsk/164712/126436/NA"	"164712"
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"27"	"80012"	"sild'G03/161722.G03/126417/NA"	"161722.G03"
"1999002/4/1999/1024/2"	"27"	"80012"	"blåsteinbit/550561/126757/NA"	"550561"
"1999002/4/1999/1024/2"	"27"	"80012"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"27"	"80012"	"flekksteinbit/171342/126759/NA"	"171342"
"1999002/4/1999/1024/2"	"27"	"80012"	"gapeflyndre/172877/127137/NA"	"172877"
"1999002/4/1999/1024/2"	"27"	"80012"	"hyse/164744/126437/NA"	"164744"
"1999002/4/1999/1024/2"	"27"	"80012"	"kloskate/564149/105865/NA"	"564149"
"1999002/4/1999/1024/2"	"27"	"80012"	"nordlig ringbuk/167522/127212/NA"	"167522"
"1999002/4/1999/1024/2"	"27"	"80012"	"rognkjeks/167612/127214/NA"	"167612"
"1999002/4/1999/1024/2"	"27"	"80012"	"smørflyndre/172873/127136/NA"	"172873"
"1999002/4/1999/1024/2"	"27"	"80012"	"torsk/164712/126436/NA"	"164712"
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"27"	"80012"	"vanlig uer/166781/151324/NA"	"166781"
