"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"NASCKey"	"Channel"	"MaxChannelRange"	"MinChannelRange"	"NASC"
"BIAS_2018_SWE"	"2018-10-09T11:49:11.000Z"	"I1"	"MIX"	"P"	"10/61.8"	"10_61.8"	61.8	10	428.7
"BIAS_2018_SWE"	"2018-10-09T11:57:49.000Z"	"I1"	"MIX"	"P"	"10/111.2"	"10_111.2"	111.2	10	390.8
"BIAS_2018_SWE"	"2018-10-09T12:06:49.000Z"	"I1"	"MIX"	"P"	"10/56.1"	"10_56.1"	56.1	10	381.9
"BIAS_2018_SWE"	"2018-10-09T12:15:47.000Z"	"I1"	"MIX"	"P"	"10/84.2"	"10_84.2"	84.2	10	757.8
"BIAS_2018_SWE"	"2018-10-09T12:24:45.000Z"	"I1"	"MIX"	"P"	"10/57.7"	"10_57.7"	57.7	10	383.7
"BIAS_2018_SWE"	"2018-10-09T12:33:37.000Z"	"I1"	"MIX"	"P"	"10/54.3"	"10_54.3"	54.3	10	419.8
"BIAS_2018_SWE"	"2018-10-09T16:49:08.000Z"	"I1"	"MIX"	"P"	"10/59.5"	"10_59.5"	59.5	10	314.6
"BIAS_2018_SWE"	"2018-10-09T16:57:45.000Z"	"I1"	"MIX"	"P"	"10/62.1"	"10_62.1"	62.1	10	605.2
"BIAS_2018_SWE"	"2018-10-09T17:05:28.000Z"	"I1"	"MIX"	"P"	"10/73"	"10_73"	73	10	372.2
"BIAS_2018_SWE"	"2018-10-09T17:13:38.000Z"	"I1"	"MIX"	"P"	"10/79.5"	"10_79.5"	79.5	10	362.4
"BIAS_2018_SWE"	"2018-10-09T17:22:03.000Z"	"I1"	"MIX"	"P"	"10/121.2"	"10_121.2"	121.2	10	402.9
"BIAS_2018_SWE"	"2018-10-09T17:29:56.000Z"	"I1"	"MIX"	"P"	"10/127.6"	"10_127.6"	127.6	10	392.9
"BIAS_2018_SWE"	"2018-10-09T17:37:45.000Z"	"I1"	"MIX"	"P"	"10/114.8"	"10_114.8"	114.8	10	308.7
"BIAS_2018_SWE"	"2018-10-09T17:45:15.000Z"	"I1"	"MIX"	"P"	"10/68.7"	"10_68.7"	68.7	10	391.8
"BIAS_2018_SWE"	"2018-10-09T17:52:56.000Z"	"I1"	"MIX"	"P"	"10/74.3"	"10_74.3"	74.3	10	546.1
"BIAS_2018_SWE"	"2018-10-09T18:00:26.000Z"	"I1"	"MIX"	"P"	"10/85.8"	"10_85.8"	85.8	10	461.9
"BIAS_2018_SWE"	"2018-10-09T18:08:08.000Z"	"I1"	"MIX"	"P"	"10/132.6"	"10_132.6"	132.6	10	745.9
"BIAS_2018_SWE"	"2018-10-09T20:24:16.000Z"	"I1"	"MIX"	"P"	"10/153.9"	"10_153.9"	153.9	10	512.2
"BIAS_2018_SWE"	"2018-10-09T20:32:33.000Z"	"I1"	"MIX"	"P"	"10/83.6"	"10_83.6"	83.6	10	396.5
"BIAS_2018_SWE"	"2018-10-09T20:40:34.000Z"	"I1"	"MIX"	"P"	"10/86.9"	"10_86.9"	86.9	10	601.1
"BIAS_2018_SWE"	"2018-10-09T20:48:42.000Z"	"I1"	"MIX"	"P"	"10/139.3"	"10_139.3"	139.3	10	720.4
"BIAS_2018_SWE"	"2018-10-09T20:56:57.000Z"	"I1"	"MIX"	"P"	"10/123.2"	"10_123.2"	123.2	10	761.1
"BIAS_2018_SWE"	"2018-10-09T21:05:24.000Z"	"I1"	"MIX"	"P"	"10/123.8"	"10_123.8"	123.8	10	834.7
"BIAS_2018_SWE"	"2018-10-09T21:13:14.000Z"	"I1"	"MIX"	"P"	"10/119.4"	"10_119.4"	119.4	10	776.1
"BIAS_2018_SWE"	"2018-10-09T21:20:42.000Z"	"I1"	"MIX"	"P"	"10/105.9"	"10_105.9"	105.9	10	620.7
"BIAS_2018_SWE"	"2018-10-09T21:28:04.000Z"	"I1"	"MIX"	"P"	"10/109.1"	"10_109.1"	109.1	10	421.4
"BIAS_2018_SWE"	"2018-10-09T21:35:19.000Z"	"I1"	"MIX"	"P"	"10/98.7"	"10_98.7"	98.7	10	454.1
"BIAS_2018_SWE"	"2018-10-09T21:43:22.000Z"	"I1"	"MIX"	"P"	"10/90.9"	"10_90.9"	90.9	10	487.7
"BIAS_2018_SWE"	"2018-10-09T21:51:13.000Z"	"I1"	"MIX"	"P"	"10/48"	"10_48"	48	10	475
"BIAS_2018_SWE"	"2018-10-09T21:59:09.000Z"	"I1"	"MIX"	"P"	"10/48.1"	"10_48.1"	48.1	10	300.1
"BIAS_2018_SWE"	"2018-10-09T22:06:58.000Z"	"I1"	"MIX"	"P"	"10/92.7"	"10_92.7"	92.7	10	358.8
"BIAS_2018_SWE"	"2018-10-09T22:14:41.000Z"	"I1"	"MIX"	"P"	"10/87.8"	"10_87.8"	87.8	10	482.8
"BIAS_2018_SWE"	"2018-10-09T22:22:26.000Z"	"I1"	"MIX"	"P"	"10/83"	"10_83"	83	10	455.9
"BIAS_2018_SWE"	"2018-10-09T22:29:58.000Z"	"I1"	"MIX"	"P"	"10/44.3"	"10_44.3"	44.3	10	366.5
"BIAS_2018_SWE"	"2018-10-09T22:36:48.000Z"	"I1"	"MIX"	"P"	"10/87.4"	"10_87.4"	87.4	10	400.7
"BIAS_2018_SWE"	"2018-10-09T22:43:01.000Z"	"I1"	"MIX"	"P"	"10/81.2"	"10_81.2"	81.2	10	475.7
"BIAS_2018_SWE"	"2018-10-09T22:49:28.000Z"	"I1"	"MIX"	"P"	"10/77.8"	"10_77.8"	77.8	10	467.7
"BIAS_2018_SWE"	"2018-10-09T22:56:09.000Z"	"I1"	"MIX"	"P"	"10/75.8"	"10_75.8"	75.8	10	577.7
"BIAS_2018_SWE"	"2018-10-09T23:02:43.000Z"	"I1"	"MIX"	"P"	"10/82.8"	"10_82.8"	82.8	10	560.7
